image-id,label
https://inaturalist-open-data.s3.amazonaws.com/photos/139030615/original.jpg?1624730390,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/138220891/original.jpg?1624405010,Abronia elliptica
https://static.inaturalist.org/photos/138198395/original.jpg?1624397671,Abronia elliptica
https://static.inaturalist.org/photos/136817525/original.jpeg?1623878319,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/136743451/original.jpeg?1623856758,Abronia elliptica
https://static.inaturalist.org/photos/136413098/original.jpg?1623718883,Abronia elliptica
https://static.inaturalist.org/photos/135854135/original.jpg?1623538340,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/135754753/original.jpg?1623514981,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/135657494/original.jpg?1623477067,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/135657413/original.jpg?1623477001,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/135328424/original.jpg?1623351047,Abronia elliptica
https://static.inaturalist.org/photos/135221104/original.jpg?1623304806,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/135074169/original.jpeg?1623255484,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/134439032/original.jpeg?1623019008,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/134383372/original.jpg?1623006234,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/134354555/original.jpg?1623000662,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/134159181/original.jpg?1622933804,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/136130379/original.jpg?1623622619,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/133879264/original.jpg?1622840865,Abronia elliptica
https://static.inaturalist.org/photos/133438490/original.jpg?1622670863,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/133388702/original.jpg?1622656440,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/133388651/original.jpg?1622656428,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/133271246/original.jpg?1622602501,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/133203104/original.jpg?1622580205,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/133173681/original.jpg?1622572209,Abronia elliptica
https://static.inaturalist.org/photos/132861846/original.jpg?1622469717,Abronia elliptica
https://static.inaturalist.org/photos/132793659/original.jpg?1622432203,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/132681053/original.jpg?1622401661,Abronia elliptica
https://static.inaturalist.org/photos/132638756/original.jpg?1622392741,Abronia elliptica
https://static.inaturalist.org/photos/132516954/original.jpg?1622344533,Abronia elliptica
https://static.inaturalist.org/photos/132500171/original.jpeg?1622338343,Abronia elliptica
https://static.inaturalist.org/photos/132222201/original.jpg?1622239811,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/131847380/original.jpg?1622085266,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/131750883/original.jpeg?1622051899,Abronia elliptica
https://static.inaturalist.org/photos/131595024/original.jpeg?1621982325,Abronia elliptica
https://static.inaturalist.org/photos/131573811/original.jpeg?1621976016,Abronia elliptica
https://static.inaturalist.org/photos/131390670/original.jpg?1621900753,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/131245133/original.jpg?1621859903,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/130693044/original.jpg?1621691695,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/130607942/original.jpg?1621650784,Abronia elliptica
https://static.inaturalist.org/photos/130570730/original.jpg?1621637109,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/130350414/original.jpg?1621549461,Abronia elliptica
https://static.inaturalist.org/photos/130312286/original.jpg?1621536649,Abronia elliptica
https://static.inaturalist.org/photos/130311946/original.jpg?1621536530,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/130193428/original.jpg?1621483013,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/130184605/original.jpg?1621479027,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/130111402/original.jpg?1621454064,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/130040755/original.jpg?1621431770,Abronia elliptica
https://inaturalist-open-data.s3.amazonaws.com/photos/129993462/original.jpg?1621403566,Abronia elliptica
